City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
322,westport,41.1415,-73.3579,27.01,89,100,2.57,US,1720529202
323,taulaga,-11.0553,-171.0883,28.15,72,87,6.22,AS,1720529492
324,lake jackson,29.0339,-95.4344,28.31,92,34,1.74,US,1720529493
325,puerto lempira,15.2667,-83.7667,27.35,86,100,4.56,HN,1720529494
326,valparaiso,-33.0393,-71.6273,6.75,93,0,2.06,CL,1720529446
327,ayr,55.4627,-4.6339,16.99,55,20,8.23,GB,1720529496
328,virginia,37.5481,-77.4467,28.58,86,75,2.06,US,1720529498
329,touros,-5.1989,-35.4608,28.07,67,75,5.67,BR,1720529499
330,camacupa,-12.0167,17.4833,28.74,11,10,1.39,AO,1720529500
331,cabo san lucas,22.8909,-109.9124,27.61,75,0,5.0,MX,1720528884
332,aras-asan,8.8908,126.3033,26.55,85,100,1.09,PH,1720529502
333,santa isabel,-23.3156,-46.2214,14.61,80,87,0.68,BR,1720529503
334,aral,40.5156,81.2636,33.77,18,1,4.33,CN,1720529505
335,mozarlandia,-14.7447,-50.5706,30.57,28,0,0.71,BR,1720529506
336,kenora,49.8167,-94.4337,18.54,77,20,3.09,CA,1720529430
337,taoudenni,22.6783,-3.9836,45.02,12,0,3.31,ML,1720529508
338,tondano,1.3038,124.9112,19.09,98,100,0.13,ID,1720529509
339,saldanha,-33.0117,17.9442,13.03,84,100,11.4,ZA,1720529511
340,antalaha,-14.9003,50.2788,24.8,58,35,6.6,MG,1720529512
341,dompu,-8.5356,118.4622,24.21,91,94,1.41,ID,1720529514
342,acajutla,13.5928,-89.8275,27.21,78,100,1.34,SV,1720529515
343,uyuni,-20.4597,-66.825,0.83,31,0,9.02,BO,1720529516
344,yeraliyev,43.2,51.65,35.56,27,1,6.77,KZ,1720529518
345,coahuayana de hidalgo,18.7,-103.6583,25.16,96,95,1.15,MX,1720529519
346,narasannapeta,18.4167,84.05,28.3,78,31,5.66,IN,1720529520
347,talachyn,54.4097,29.6917,22.76,58,0,4.65,BY,1720529521
348,polyarnyy,69.1989,33.4478,9.83,96,100,4.4,RU,1720529522
349,lappeenranta,61.0587,28.1887,18.21,67,75,5.66,FI,1720529524
350,bhainsdehi,21.6467,77.6325,26.94,77,100,3.37,IN,1720529525
351,carauari,-4.8828,-66.8958,25.98,81,6,0.34,BR,1720529526
352,holualoa,19.6228,-155.9522,23.91,89,100,0.0,US,1720529527
353,selfoss,63.9331,-20.9971,12.06,79,99,4.47,IS,1720529528
354,mar del plata,-38.0023,-57.5575,6.16,59,93,1.79,AR,1720529530
355,villa ojo de agua,-29.5,-63.6938,2.92,67,5,4.5,AR,1720529531
356,trairi,-3.2778,-39.2689,28.58,63,64,5.61,BR,1720529532
357,coquimbo,-29.9533,-71.3436,8.85,93,100,2.06,CL,1720529533
358,newman,37.3138,-121.0208,22.38,77,0,1.94,US,1720529534
359,smara,26.7384,-11.6719,31.27,21,0,9.68,EH,1720529535
360,as sulayyil,20.4607,45.5779,44.14,7,95,5.57,SA,1720529537
